ano;ptyid;trustfedgov;ptyv
2010;;2.0;PT
2010;;1.0;Outros
2010;;3.0;PT
2010;PT;3.0;
2010;PT;3.0;PT
2010;;3.0;PT
2010;;1.0;Outros
2010;;2.0;PT
2010;;-3.0;Alternativa (PSDB ou PSL)
2010;;3.0;
2010;;2.0;PT
2010;;1.0;
2010;;3.0;PT
2010;;2.0;PT
2010;Outro;3.0;
2010;;-1.0;
2010;;1.0;PT
2010;;2.0;PT
2010;;0.0;PT
2010;PT;3.0;PT
2010;;2.0;PT
2010;Outro (esquerda);-2.0;PT
2010;;-3.0;
2010;;3.0;PT
2010;;1.0;
2010;PT;-3.0;PT
2010;;-2.0;PT
2010;PT;3.0;
2010;Outro (direita);3.0;PT
2010;PT;1.0;PT
2010;PT;3.0;
2010;;1.0;
2010;;3.0;
2010;Outro (direita);2.0;PT
2010;;2.0;
2010;Outro (direita);0.0;
2010;;3.0;PT
2010;;3.0;PT
2010;;3.0;
2010;;1.0;PT
2010;;3.0;PT
2010;;2.0;PT
2010;;-1.0;PT
2010;;3.0;PT
2010;;1.0;PT
2010;;1.0;PT
2010;;3.0;PT
2010;;3.0;PT
2010;;2.0;PT
2010;PT;2.0;
2010;PT;3.0;PT
2010;;3.0;PT
2010;PT;3.0;PT
2010;;3.0;PT
2010;;2.0;PT
2010;;3.0;PT
2010;;-3.0;PT
2010;;3.0;PT
2010;;2.0;Alternativa (PSDB ou PSL)
2010;;3.0;
2010;;2.0;PT
2010;;1.0;
2010;Outro (esquerda);2.0;PT
2010;PT;1.0;PT
2010;;1.0;
2010;;-2.0;PT
2010;;2.0;PT
2010;;-1.0;PT
2010;;2.0;PT
2010;;3.0;PT
2010;;1.0;PT
2010;Outro (direita);0.0;
2010;;1.0;
2010;;-3.0;Nenhum
2010;;1.0;
2010;;-1.0;
2010;;2.0;PT
2010;;3.0;PT
2010;PT;2.0;PT
2010;;-1.0;Nenhum
2010;;3.0;PT
2010;PT;3.0;PT
2010;Outro (esquerda);2.0;
2010;PT;-1.0;PT
2010;Outro (esquerda);0.0;PT
2010;;3.0;PT
2010;PT;3.0;PT
2010;;-1.0;PT
2010;PSDB;1.0;Outros
2010;;1.0;
2010;PT;1.0;PT
2010;;-1.0;PT
2010;;3.0;PT
2010;PT;3.0;PT
2010;;0.0;PT
2010;PT;0.0;PT
2010;;3.0;PT
2010;Outro (esquerda);2.0;PT
2010;;-1.0;
2010;;;
2010;;3.0;
2010;;3.0;PT
2010;PT;3.0;PT
2010;;;PT
2010;;-1.0;PT
2010;;-2.0;Alternativa (PSDB ou PSL)
2010;PT;3.0;PT
2010;;0.0;
2010;;0.0;
2010;;2.0;PT
2010;;-1.0;
2010;Outro (esquerda);1.0;PT
2010;;1.0;Outros
2010;;2.0;PT
2010;;2.0;Outros
2010;;1.0;PT
2010;;0.0;PT
2010;;3.0;
2010;;0.0;
2010;;0.0;
2010;;0.0;
2010;;2.0;
2010;;1.0;
2010;;1.0;
2010;Outro (direita);1.0;
2010;Outro;-1.0;
2010;;-1.0;
2010;;-3.0;
2010;;1.0;PT
2010;;2.0;PT
2010;;0.0;
2010;;-2.0;
2010;PT;1.0;
2010;;0.0;PT
2010;;-1.0;
2010;;0.0;PT
2010;;-1.0;
2010;;1.0;
2010;;3.0;
2010;;-3.0;Alternativa (PSDB ou PSL)
2010;;0.0;
2010;;-1.0;
2010;;-1.0;
2010;;-3.0;PT
2010;;-3.0;Outros
2010;;0.0;
2010;;2.0;
2010;;3.0;Alternativa (PSDB ou PSL)
2010;;2.0;PT
2010;Outro (esquerda);-3.0;PT
2010;;3.0;PT
2010;;1.0;PT
2010;;0.0;Outros
2010;;1.0;PT
2010;Outro;-2.0;PT
2010;;3.0;PT
2010;;1.0;PT
2010;;-3.0;PT
2010;;3.0;PT
2010;PT;-3.0;
2010;;2.0;PT
2010;;-3.0;PT
2010;;0.0;PT
2010;;3.0;PT
2010;Outro (esquerda);1.0;Alternativa (PSDB ou PSL)
2010;;3.0;PT
2010;Outro (esquerda);-2.0;Outros
2010;PT;1.0;PT
2010;Outro (esquerda);0.0;Outros
2010;;3.0;
2010;;0.0;PT
2010;PT;1.0;PT
2010;;-3.0;
2010;;-1.0;PT
2010;;3.0;
2010;;1.0;
2010;Outro (esquerda);0.0;
2010;;-3.0;Outros
2010;Outro (esquerda);-1.0;Outros
2010;;2.0;PT
2010;;3.0;PT
2010;;3.0;
2010;PT;-3.0;PT
2010;;2.0;PT
2010;;3.0;PT
2010;PT;1.0;Outros
2010;;2.0;PT
2010;;-1.0;PT
2010;;3.0;
2010;PT;-3.0;
2010;;3.0;PT
2010;;3.0;PT
2010;;-3.0;PT
2010;;-3.0;
2010;;3.0;PT
2010;;3.0;PT
2010;;-1.0;
2010;PT;3.0;PT
2010;;1.0;
2010;;3.0;PT
2010;;1.0;PT
2010;;2.0;PT
2010;;3.0;PT
2010;;3.0;PT
2010;;-2.0;PT
2010;;3.0;PT
2010;;3.0;PT
2010;;2.0;
2010;;3.0;PT
2010;;2.0;PT
2010;;1.0;PT
2010;;-3.0;
2010;;;
2010;;-3.0;
2010;Outro (esquerda);3.0;PT
2010;Outro (direita);-3.0;Alternativa (PSDB ou PSL)
2010;;3.0;PT
2010;;-3.0;Outros
2010;;2.0;
2010;;3.0;
2010;PT;-3.0;PT
2010;;2.0;
2010;;3.0;
2010;PT;2.0;PT
2010;;0.0;
2010;PT;3.0;
2010;;1.0;PT
2010;PT;3.0;PT
2010;PT;3.0;PT
2010;;3.0;PT
2010;;0.0;PT
2010;;3.0;PT
2010;;3.0;PT
2010;Outro (direita);3.0;PT
2010;;2.0;PT
2010;;3.0;
2010;PT;3.0;PT
2010;;0.0;
2010;;-1.0;
2010;;-1.0;PT
2010;;3.0;PT
2010;;3.0;PT
2010;PT;3.0;PT
2010;Outro;3.0;
2010;;0.0;
2010;PSDB;1.0;Outros
2010;PT;3.0;PT
2010;;1.0;PT
2010;;1.0;Outros
2010;;-3.0;Alternativa (PSDB ou PSL)
2010;;2.0;
2010;;3.0;PT
2010;;1.0;
2010;;3.0;Alternativa (PSDB ou PSL)
2010;PT;-2.0;
2010;;-2.0;PT
2010;;-1.0;PT
2010;;0.0;PT
2010;;-1.0;Alternativa (PSDB ou PSL)
2010;;-1.0;
2010;;0.0;PT
2010;;0.0;PT
2010;;0.0;PT
2010;;0.0;Alternativa (PSDB ou PSL)
2010;;-2.0;PT
2010;;-1.0;PT
2010;;-1.0;Outros
2010;;-2.0;PT
2010;;0.0;PT
2010;;-1.0;Alternativa (PSDB ou PSL)
2010;;-2.0;Alternativa (PSDB ou PSL)
2010;;-3.0;PT
2010;;-1.0;PT
2010;;0.0;PT
2010;;-2.0;PT
2010;;-1.0;Alternativa (PSDB ou PSL)
2010;;-3.0;PT
2010;;-1.0;PT
2010;;-2.0;
2010;;-2.0;Alternativa (PSDB ou PSL)
2010;;0.0;PT
2010;;-1.0;Alternativa (PSDB ou PSL)
2010;;-3.0;PT
2010;;-2.0;PT
2010;;1.0;PT
2010;;-3.0;
2010;PT;3.0;
2010;;2.0;PT
2010;;2.0;
2010;;3.0;PT
2010;;-3.0;
2010;;1.0;
2010;PT;0.0;
2010;;2.0;PT
2010;;2.0;PT
2010;Outro (direita);1.0;PT
2010;;3.0;
2010;Outro (direita);3.0;
2010;;-2.0;
2010;;3.0;
2010;;3.0;
2010;;2.0;
2010;;0.0;Outros
2010;;3.0;PT
2010;Outro (direita);3.0;PT
2010;PT;3.0;
2010;;-3.0;Outros
2010;;-3.0;Outros
2010;Outro;0.0;Outros
2010;;3.0;PT
2010;;3.0;
2010;PT;2.0;PT
2010;;3.0;PT
2010;;1.0;
2010;Outro (direita);1.0;PT
2010;PSDB;2.0;Alternativa (PSDB ou PSL)
2010;Outro (direita);2.0;PT
2010;PT;1.0;PT
2010;;1.0;PT
2010;PT;2.0;PT
2010;;0.0;
2010;;1.0;PT
2010;;3.0;
2010;;0.0;
2010;PT;0.0;PT
2010;;0.0;
2010;PT;3.0;PT
2010;Outro (direita);2.0;Outros
2010;Outro (direita);1.0;PT
2010;Outro (direita);-3.0;
2010;PT;3.0;PT
2010;;3.0;
2012;;-3.0;Alternativa (PSDB ou PSL)
2012;;-1.0;PT
2012;;3.0;
2012;;2.0;PT
2012;;1.0;PT
2012;;2.0;PT
2012;;1.0;PT
2012;;1.0;
2012;;1.0;PT
2012;PT;3.0;PT
2012;;1.0;
2012;;2.0;PT
2012;;2.0;PT
2012;;-1.0;
2012;PT;2.0;PT
2012;;3.0;PT
2012;;3.0;Alternativa (PSDB ou PSL)
2012;;2.0;PT
2012;;3.0;
2012;;3.0;PT
2012;;2.0;Outros
2012;;2.0;PT
2012;PT;3.0;PT
2012;;-3.0;
2012;PT;-2.0;PT
2012;;-2.0;PT
2012;;3.0;
2012;;2.0;
2012;;-3.0;PT
2012;;-1.0;PT
2012;;2.0;PT
2012;;0.0;PT
2012;;2.0;PT
2012;;1.0;PT
2012;PT;0.0;PT
2012;PT;1.0;PT
2012;PT;2.0;PT
2012;PT;-1.0;PT
2012;;3.0;PT
2012;;-1.0;Outros
2012;;0.0;PT
2012;;2.0;
2012;;3.0;PT
2012;PT;3.0;Outros
2012;;2.0;PT
2012;;0.0;Outros
2012;PT;2.0;PT
2012;;1.0;
2012;;3.0;PT
2012;PT;1.0;
2012;;3.0;
2012;;1.0;
2012;;0.0;
2012;Outro (direita);1.0;
2012;;0.0;PT
2012;;1.0;PT
2012;;3.0;Outros
2012;;3.0;PT
2012;;1.0;PT
2012;Outro (esquerda);2.0;PT
2012;Outro (esquerda);2.0;PT
2012;PT;3.0;PT
2012;;3.0;PT
2012;Outro (esquerda);3.0;PT
2012;;-1.0;PT
2012;Outro (direita);3.0;PT
2012;Outro;3.0;PT
2012;PT;3.0;PT
2012;Outro (direita);1.0;Alternativa (PSDB ou PSL)
2012;;3.0;Alternativa (PSDB ou PSL)
2012;PT;1.0;PT
2012;;2.0;Outros
2012;Outro (direita);1.0;Outros
2012;PSDB;-1.0;Outros
2012;;2.0;PT
2012;;2.0;PT
2012;;2.0;Outros
2012;;1.0;Alternativa (PSDB ou PSL)
2012;;2.0;PT
2012;;2.0;PT
2012;;0.0;PT
2012;;1.0;PT
2012;;2.0;Outros
2012;;2.0;PT
2012;PT;2.0;PT
2012;;-1.0;
2012;;1.0;PT
2012;;1.0;PT
2012;;3.0;PT
2012;;-3.0;
2012;;2.0;
2012;;2.0;PT
2012;Outro;3.0;
2012;;2.0;PT
2012;;3.0;PT
2012;PT;3.0;PT
2012;;0.0;PT
2012;PT;2.0;PT
2012;;2.0;PT
2012;PT;2.0;PT
2012;;-1.0;Outros
2012;;2.0;PT
2012;;1.0;PT
2012;Outro (direita);2.0;Outros
2012;;3.0;PT
2012;;-1.0;Outros
2012;;1.0;
2012;Outro (direita);3.0;PT
2012;PT;3.0;PT
2012;;;PT
2012;;-1.0;
2012;;2.0;PT
2012;;2.0;PT
2012;;3.0;Outros
2012;PT;2.0;PT
2012;;3.0;PT
2012;;-1.0;PT
2012;PT;3.0;Outros
2012;PSDB;0.0;Alternativa (PSDB ou PSL)
2012;;1.0;Outros
2012;;0.0;Outros
2012;Outro (esquerda);-3.0;Outros
2012;PT;3.0;PT
2012;;1.0;PT
2012;;0.0;Outros
2012;;2.0;PT
2012;;3.0;PT
2012;;-1.0;PT
2012;PT;3.0;PT
2012;Outro (esquerda);-3.0;Alternativa (PSDB ou PSL)
2012;;3.0;PT
2012;;3.0;PT
2012;;0.0;
2012;;2.0;PT
2012;;3.0;PT
2012;;1.0;Outros
2012;;2.0;Nenhum
2012;;-2.0;
2012;Outro (direita);2.0;Outros
2012;;2.0;PT
2012;;0.0;Nenhum
2012;;-2.0;PT
2012;;1.0;PT
2012;;0.0;Alternativa (PSDB ou PSL)
2012;;1.0;PT
2012;;2.0;Alternativa (PSDB ou PSL)
2012;;0.0;Outros
2012;;0.0;
2012;;3.0;PT
2012;;-1.0;PT
2012;;3.0;PT
2012;;-2.0;PT
2012;;2.0;Alternativa (PSDB ou PSL)
2012;PT;3.0;PT
2012;;-3.0;PT
2012;;-2.0;
2012;;1.0;PT
2012;;-1.0;Alternativa (PSDB ou PSL)
2012;;-1.0;PT
2012;;2.0;PT
2012;;1.0;
2012;;1.0;Alternativa (PSDB ou PSL)
2012;;-3.0;
2012;Outro (direita);-1.0;Alternativa (PSDB ou PSL)
2012;;-2.0;PT
2012;;2.0;PT
2012;;1.0;PT
2012;;0.0;PT
2012;;2.0;
2012;;1.0;PT
2012;;1.0;PT
2012;;1.0;Alternativa (PSDB ou PSL)
2012;;-1.0;Alternativa (PSDB ou PSL)
2012;;1.0;PT
2012;;-2.0;Nenhum
2012;Outro (esquerda);-3.0;
2012;Outro (esquerda);0.0;Alternativa (PSDB ou PSL)
2012;Outro (esquerda);1.0;PT
2012;;-1.0;Alternativa (PSDB ou PSL)
2012;;-2.0;PT
2012;PSDB;1.0;Outros
2012;;0.0;Alternativa (PSDB ou PSL)
2012;;-2.0;
2012;PT;2.0;PT
2012;;-1.0;PT
2012;;1.0;PT
2012;;-1.0;Outros
2012;;0.0;
2012;;1.0;Alternativa (PSDB ou PSL)
2012;;3.0;
2012;;1.0;PT
2012;;-3.0;Outros
2012;;1.0;PT
2012;;0.0;PT
2012;;2.0;PT
2012;Outro (direita);3.0;PT
2012;PT;3.0;PT
2012;;0.0;Alternativa (PSDB ou PSL)
2012;;2.0;Alternativa (PSDB ou PSL)
2012;;-1.0;Outros
2012;;1.0;
2012;;-3.0;Alternativa (PSDB ou PSL)
2012;;0.0;PT
2012;;1.0;
2012;;2.0;Alternativa (PSDB ou PSL)
2012;;-1.0;PT
2012;;-2.0;Outros
2012;PT;1.0;PT
2012;;3.0;Alternativa (PSDB ou PSL)
2012;;-1.0;Nenhum
2012;;1.0;Outros
2012;PT;2.0;PT
2012;;2.0;Outros
2012;;1.0;PT
2012;PT;1.0;PT
2012;;3.0;Outros
2012;;-3.0;
2012;PT;1.0;PT
2012;PT;3.0;Outros
2012;;-3.0;Outros
2012;;0.0;PT
2012;;0.0;
2012;;2.0;PT
2012;;1.0;PT
2012;;0.0;
2012;;2.0;PT
2012;;0.0;PT
2012;;-3.0;Nenhum
2012;PT;2.0;PT
2012;PSDB;0.0;Alternativa (PSDB ou PSL)
2012;;-1.0;Alternativa (PSDB ou PSL)
2012;;0.0;Alternativa (PSDB ou PSL)
2012;Outro;2.0;PT
2012;;1.0;PT
2012;PT;3.0;PT
2012;PT;2.0;PT
2012;;0.0;Alternativa (PSDB ou PSL)
2012;;2.0;PT
2012;Outro;0.0;Alternativa (PSDB ou PSL)
2012;Outro (direita);-1.0;Alternativa (PSDB ou PSL)
2012;;1.0;
2012;;-1.0;
2012;PT;-2.0;PT
2012;;2.0;Alternativa (PSDB ou PSL)
2012;;1.0;Alternativa (PSDB ou PSL)
2012;;3.0;PT
2012;;3.0;Alternativa (PSDB ou PSL)
2012;;2.0;PT
2012;PSDB;2.0;PT
2012;;2.0;
2012;;1.0;Alternativa (PSDB ou PSL)
2012;;0.0;Outros
2012;;0.0;PT
2012;;-2.0;PT
2012;;3.0;PT
2012;;-3.0;PT
2012;;1.0;
2012;;0.0;Alternativa (PSDB ou PSL)
2012;;2.0;PT
2012;PT;3.0;PT
2012;;2.0;Alternativa (PSDB ou PSL)
2012;;0.0;
2012;PT;0.0;PT
2012;;2.0;PT
2012;PSDB;1.0;Alternativa (PSDB ou PSL)
2012;PSDB;3.0;Alternativa (PSDB ou PSL)
2012;;0.0;
2012;;2.0;PT
2012;;-1.0;PT
2012;PT;3.0;Alternativa (PSDB ou PSL)
2012;PT;2.0;PT
2012;;1.0;Alternativa (PSDB ou PSL)
2012;;2.0;
2012;;2.0;PT
2012;PT;-1.0;PT
2012;;1.0;Alternativa (PSDB ou PSL)
2012;PSDB;3.0;Outros
2012;Outro (direita);1.0;Alternativa (PSDB ou PSL)
2012;;1.0;Outros
2012;;-2.0;
2012;;-3.0;Nenhum
2012;;-3.0;PT
2012;;2.0;PT
2012;;0.0;
2012;PSDB;0.0;Alternativa (PSDB ou PSL)
2012;PT;0.0;Outros
2012;Outro (direita);3.0;PT
2012;;;Outros
2012;PT;-1.0;
2012;;0.0;PT
2012;;1.0;
2012;;-3.0;PT
2012;PT;-3.0;
2012;PT;3.0;PT
2012;PT;0.0;Alternativa (PSDB ou PSL)
2012;;2.0;
2012;;1.0;PT
2012;;2.0;Outros
2012;;1.0;Alternativa (PSDB ou PSL)
2012;;0.0;PT
2012;;0.0;Alternativa (PSDB ou PSL)
2012;;0.0;Alternativa (PSDB ou PSL)
2012;;0.0;PT
2012;;-1.0;Outros
2012;;-2.0;Alternativa (PSDB ou PSL)
2012;;3.0;
2012;;-3.0;
2012;;3.0;PT
2012;;2.0;PT
2012;;2.0;
2012;;2.0;PT
2012;Outro (direita);-1.0;Alternativa (PSDB ou PSL)
2012;;-3.0;PT
2012;;1.0;PT
2012;;-3.0;Nenhum
2012;;1.0;PT
2012;Outro (esquerda);-1.0;Alternativa (PSDB ou PSL)
2012;PT;1.0;Alternativa (PSDB ou PSL)
2012;;1.0;PT
2012;;0.0;PT
2012;;1.0;
2012;;-2.0;PT
2012;PT;3.0;PT
2012;;0.0;PT
2012;;0.0;PT
2012;;-1.0;Outros
2012;PT;-1.0;
2012;;-1.0;
2012;;0.0;Alternativa (PSDB ou PSL)
2012;;-1.0;Nenhum
2012;;0.0;Alternativa (PSDB ou PSL)
2012;;1.0;
2012;PT;2.0;
2012;;-2.0;PT
2012;;1.0;
2012;;1.0;Outros
2012;;-3.0;PT
2012;Outro (direita);-2.0;Alternativa (PSDB ou PSL)
2012;Outro (direita);-2.0;Alternativa (PSDB ou PSL)
2012;PT;-3.0;Alternativa (PSDB ou PSL)
2012;;3.0;PT
2012;;1.0;PT
2012;Outro (esquerda);0.0;Outros
2012;;2.0;PT
2012;;-1.0;PT
2012;;1.0;
2012;;-1.0;
2012;;-2.0;Alternativa (PSDB ou PSL)
2012;;0.0;Alternativa (PSDB ou PSL)
2012;;2.0;PT
2012;PT;1.0;PT
2012;Outro (direita);-3.0;Alternativa (PSDB ou PSL)
2012;;-1.0;PT
2012;;0.0;Alternativa (PSDB ou PSL)
2012;Outro (esquerda);-1.0;PT
2012;;1.0;Alternativa (PSDB ou PSL)
2012;PT;2.0;Outros
2012;PT;2.0;PT
2012;;1.0;
2012;;2.0;
2012;;1.0;
2012;;-2.0;PT
2012;;2.0;Outros
2012;;1.0;
2012;;-3.0;PT
2012;;2.0;PT
2012;;1.0;PT
2012;;0.0;Alternativa (PSDB ou PSL)
2012;;-3.0;
2012;Outro (direita);-3.0;PT
2012;;-3.0;Outros
2012;PT;3.0;PT
2012;PT;3.0;PT
2012;;2.0;Alternativa (PSDB ou PSL)
2012;PT;3.0;PT
2012;;3.0;PT
2012;;-3.0;
2012;PT;3.0;
2012;;1.0;Alternativa (PSDB ou PSL)
2012;PT;2.0;PT
2012;;2.0;Alternativa (PSDB ou PSL)
2012;;0.0;Outros
2012;;2.0;
2012;;2.0;PT
2012;;2.0;Outros
2012;;-1.0;
2012;;3.0;Alternativa (PSDB ou PSL)
2012;;2.0;Outros
2012;;0.0;PT
2012;;2.0;PT
2012;;0.0;Alternativa (PSDB ou PSL)
2012;;1.0;
2012;;-1.0;PT
2012;Outro (esquerda);1.0;
2012;;1.0;Outros
2012;;-1.0;
2012;Outro (esquerda);1.0;Outros
2012;PT;3.0;PT
2012;;0.0;
2012;;3.0;Outros
2012;;1.0;Alternativa (PSDB ou PSL)
2012;;-3.0;Alternativa (PSDB ou PSL)
2012;PT;2.0;PT
2012;;2.0;
2012;;1.0;Outros
2012;PT;3.0;
2012;;0.0;Nenhum
2012;PT;2.0;PT
2012;;1.0;
2012;;1.0;PT
2012;;0.0;Alternativa (PSDB ou PSL)
2012;;1.0;PT
2012;PSDB;1.0;Outros
2012;;1.0;Alternativa (PSDB ou PSL)
2012;;1.0;PT
2012;;3.0;PT
2012;;-3.0;PT
2012;;3.0;PT
2012;PT;-3.0;PT
2012;;-2.0;PT
2012;;-2.0;PT
2012;;-3.0;
2012;PT;2.0;PT
2012;;1.0;PT
2012;PT;3.0;PT
2012;PT;3.0;PT
2012;;0.0;
2012;;-2.0;Outros
2012;;1.0;
2012;;-2.0;Nenhum
2012;;-1.0;Alternativa (PSDB ou PSL)
2012;;1.0;Alternativa (PSDB ou PSL)
2012;;1.0;PT
2012;;1.0;PT
2012;PT;2.0;PT
2012;;2.0;Outros
2012;;3.0;
2012;;2.0;Alternativa (PSDB ou PSL)
2012;;-3.0;
2012;;3.0;PT
2012;;1.0;Outros
2012;PT;3.0;PT
2012;;2.0;Outros
2012;;2.0;PT
2012;;1.0;
2012;Outro (esquerda);1.0;PT
2012;Outro (direita);-1.0;Alternativa (PSDB ou PSL)
2012;;2.0;PT
2012;;-1.0;PT
2012;;3.0;PT
2012;;0.0;Outros
2012;;-3.0;PT
2012;Outro (direita);-2.0;PT
2012;;-3.0;Alternativa (PSDB ou PSL)
2012;;0.0;PT
2012;;3.0;PT
2012;Outro (direita);3.0;Alternativa (PSDB ou PSL)
2012;PT;-3.0;PT
2012;;2.0;PT
2012;;2.0;Alternativa (PSDB ou PSL)
2012;;-2.0;Nenhum
2012;;-2.0;PT
2012;;-2.0;Outros
2012;;-2.0;Nenhum
2012;;1.0;PT
2012;;-1.0;Alternativa (PSDB ou PSL)
2012;;0.0;
2012;;-1.0;Outros
2012;;1.0;PT
2012;;-2.0;Outros
2012;PT;-3.0;PT
2012;;-2.0;
2012;PT;3.0;PT
2012;;1.0;PT
2012;PT;1.0;
2012;PT;3.0;PT
2012;PSDB;-3.0;Outros
2012;PSDB;1.0;Alternativa (PSDB ou PSL)
2012;;-1.0;
2012;Outro (direita);-3.0;Alternativa (PSDB ou PSL)
2012;;1.0;PT
2012;;1.0;PT
2012;PT;-2.0;Nenhum
2012;;3.0;PT
2012;;-1.0;PT
2012;;1.0;PT
2012;;0.0;PT
2012;;;PT
2012;;2.0;PT
2012;;0.0;Alternativa (PSDB ou PSL)
2012;Outro (direita);2.0;Alternativa (PSDB ou PSL)
2012;;3.0;Alternativa (PSDB ou PSL)
2012;Outro (esquerda);-3.0;Outros
2012;;0.0;Alternativa (PSDB ou PSL)
2012;;3.0;PT
2012;Outro (direita);0.0;PT
2012;;3.0;PT
2012;;-2.0;
2012;;3.0;PT
2012;;2.0;PT
2012;;1.0;PT
2012;PT;3.0;PT
2012;;3.0;PT
2012;Outro (direita);-3.0;PT
2012;Outro (direita);-3.0;PT
2012;;-3.0;Alternativa (PSDB ou PSL)
2012;;1.0;Alternativa (PSDB ou PSL)
2012;;2.0;Nenhum
2012;;0.0;Outros
2012;;-2.0;PT
2012;;1.0;
2012;;2.0;PT
2012;;2.0;Outros
2012;;-1.0;
2012;PT;0.0;
2012;;0.0;PT
2012;;0.0;PT
2012;;2.0;PT
2012;PT;2.0;PT
2012;PT;3.0;Outros
2012;;1.0;PT
2012;;3.0;Outros
2012;Outro (direita);0.0;Alternativa (PSDB ou PSL)
2012;;-1.0;Alternativa (PSDB ou PSL)
2012;;2.0;Alternativa (PSDB ou PSL)
2012;;2.0;PT
2012;;2.0;Alternativa (PSDB ou PSL)
2012;;1.0;Alternativa (PSDB ou PSL)
2012;PSDB;2.0;Outros
2012;;0.0;PT
2012;;3.0;
2012;;2.0;
2012;;0.0;Alternativa (PSDB ou PSL)
2012;;-3.0;
2012;;1.0;PT
2012;Outro (esquerda);3.0;PT
2012;Outro (direita);1.0;PT
2012;;-1.0;PT
2012;;0.0;Alternativa (PSDB ou PSL)
2012;Outro (direita);3.0;Alternativa (PSDB ou PSL)
2012;;-1.0;Outros
2012;Outro (esquerda);1.0;
2012;;-2.0;Alternativa (PSDB ou PSL)
2012;;-1.0;Alternativa (PSDB ou PSL)
2012;;-2.0;Alternativa (PSDB ou PSL)
2012;Outro (esquerda);1.0;Outros
2012;;1.0;Nenhum
2012;;0.0;PT
2012;;-2.0;PT
2012;PSDB;0.0;Alternativa (PSDB ou PSL)
2012;PT;0.0;PT
2012;;0.0;
2012;;1.0;PT
2012;;2.0;Alternativa (PSDB ou PSL)
2012;Outro (direita);2.0;PT
2012;PT;1.0;Outros
2012;PT;3.0;
2012;;-2.0;PT
2012;;-1.0;
2012;;1.0;PT
2012;;-1.0;Nenhum
2012;PSDB;1.0;Alternativa (PSDB ou PSL)
2012;;-3.0;PT
2012;PT;3.0;Outros
2012;;1.0;
2012;;0.0;PT
2012;;1.0;PT
2012;;2.0;PT
2012;PT;1.0;PT
2012;;1.0;Alternativa (PSDB ou PSL)
2012;Outro (esquerda);3.0;Alternativa (PSDB ou PSL)
2012;;2.0;Outros
2012;;-3.0;PT
2012;;1.0;PT
2012;;-1.0;Alternativa (PSDB ou PSL)
2012;;3.0;PT
2012;;0.0;Outros
2012;Outro;3.0;PT
2012;;1.0;PT
2012;;0.0;PT
2012;PT;2.0;PT
2012;PT;2.0;PT
2012;;-2.0;
2012;PT;3.0;PT
2012;;0.0;
2012;PT;1.0;PT
2012;PT;0.0;PT
2012;PT;3.0;PT
2012;PT;-3.0;
2012;;-2.0;PT
2012;PT;2.0;PT
2012;;-1.0;Outros
2012;;1.0;Alternativa (PSDB ou PSL)
2012;;-3.0;PT
2012;;-3.0;
2012;PT;2.0;PT
2012;;3.0;PT
2012;;1.0;PT
2012;;2.0;PT
2012;;1.0;PT
2012;;2.0;PT
2012;;-3.0;Nenhum
2012;PT;1.0;PT
2012;;3.0;PT
2012;;-1.0;Alternativa (PSDB ou PSL)
2012;PT;0.0;PT
2012;;-1.0;Nenhum
2012;PT;0.0;PT
2012;;-1.0;PT
2012;Outro (direita);1.0;PT
2012;;0.0;Nenhum
2012;;-2.0;
2012;;2.0;Outros
2012;;1.0;
2012;PT;2.0;PT
2012;;3.0;Alternativa (PSDB ou PSL)
2012;;-1.0;Alternativa (PSDB ou PSL)
2012;;1.0;PT
2012;PT;3.0;PT
2012;;1.0;PT
2012;;-1.0;PT
2012;PT;1.0;
2012;;3.0;PT
2012;;-3.0;
2012;;0.0;PT
2012;PT;3.0;PT
2012;PT;-2.0;PT
2012;PT;-3.0;PT
2012;;2.0;
2012;;2.0;Outros
2012;;-1.0;PT
2012;;0.0;PT
2012;PSDB;3.0;Alternativa (PSDB ou PSL)
2012;PT;3.0;PT
2012;;2.0;Outros
2012;;-1.0;
2012;;2.0;Alternativa (PSDB ou PSL)
2012;PT;1.0;PT
2012;;1.0;PT
2012;;-2.0;Outros
2012;;2.0;PT
2012;Outro (direita);2.0;
2012;PT;0.0;PT
2012;;-1.0;Outros
2012;Outro;1.0;Alternativa (PSDB ou PSL)
2012;;0.0;Alternativa (PSDB ou PSL)
2012;;2.0;PT
2012;;-2.0;PT
2012;;2.0;Outros
2012;;-3.0;
2012;;3.0;Outros
2012;;0.0;PT
2012;PT;3.0;PT
2012;;3.0;PT
2012;Outro (esquerda);1.0;Alternativa (PSDB ou PSL)
2012;;1.0;
2012;;1.0;Alternativa (PSDB ou PSL)
2012;PT;0.0;PT
2012;;1.0;PT
2012;;-1.0;PT
2012;;-2.0;PT
2012;;-3.0;
2012;PT;2.0;Outros
2012;;1.0;PT
2012;Outro;1.0;PT
2012;Outro (esquerda);-1.0;Outros
2012;;0.0;PT
2012;Outro (esquerda);2.0;
2012;;0.0;PT
2012;;1.0;PT
2012;;0.0;Outros
2012;;1.0;Alternativa (PSDB ou PSL)
2012;Outro (esquerda);0.0;
2012;Outro;1.0;PT
2012;;3.0;PT
2012;;3.0;
2012;PSDB;-1.0;
2012;PSDB;2.0;PT
2012;;-1.0;Alternativa (PSDB ou PSL)
2012;PT;2.0;PT
2012;PT;2.0;Outros
2012;;-1.0;Outros
